COMBINATIONS,DRAW DATE
22-09-24-16-52-42,10/30/2015
22-03-27-41-43-36,11/1/2015
11-22-03-43-34-06,11/6/2015
48-52-14-58-23-38,11/8/2015
48-15-01-35-26-22,11/13/2015
20-01-04-40-51-02,11/15/2015
33-54-45-20-14-12,11/20/2015
15-48-31-04-43-13,11/22/2015
32-51-27-01-16-20,11/27/2015
19-51-38-17-43-04,11/29/2015
22-28-01-43-06-13,12/4/2015
38-33-11-25-54-41,12/6/2015
08-55-11-33-05-10,12/11/2015
50-52-09-33-08-31,12/13/2015
53-30-54-41-43-26,12/18/2015
16-07-50-03-26-53,12/20/2015
13-27-23-11-01-09,12/27/2015
26-10-05-24-49-12,1/3/2016
38-35-33-08-49-52,1/8/2016
23-54-31-05-32-03,1/10/2016
22-16-45-56-54-39,1/15/2016
53-19-58-38-04-27,1/17/2016
37-14-25-09-46-31,1/22/2016
25-43-49-57-06-13,1/24/2016
44-12-54-33-04-53,1/29/2016
15-20-37-29-54-16,1/31/2016
35-06-48-58-33-50,2/5/2016
40-55-20-13-32-23,2/7/2016
47-30-49-27-46-42,2/12/2016
27-34-42-21-11-38,2/14/2016
10-03-01-51-44-13,2/19/2016
39-33-19-21-09-55,2/21/2016
44-58-09-41-23-35,2/26/2016
10-13-23-11-07-09,2/28/2016
36-41-03-06-15-26,3/4/2016
48-37-33-34-41-50,3/6/2016
25-07-36-39-31-30,3/11/2016
27-12-01-11-29-52,3/13/2016
33-04-48-44-19-38,3/18/2016
29-08-33-46-35-21,3/20/2016
47-25-20-44-06-55,4/1/2016
36-39-33-01-11-50,4/3/2016
40-41-01-25-28-44,4/8/2016
53-48-44-04-46-11,4/10/2016
07-53-13-50-22-01,4/15/2016
34-19-33-39-06-49,4/17/2016
02-51-40-33-20-13,4/22/2016
36-35-51-38-46-30,4/24/2016
35-56-30-46-57-08,4/29/2016
27-41-15-52-39-04,5/1/2016
38-23-55-17-51-08,5/6/2016
49-52-22-01-46-41,5/8/2016
08-12-09-50-13-46,5/13/2016
41-21-13-52-36-06,5/15/2016
05-42-34-49-33-52,5/20/2016
31-40-42-51-06-18,5/22/2016
11-50-56-53-12-09,5/27/2016
06-44-36-54-32-29,5/29/2016
13-02-25-06-03-49,6/3/2016
22-05-07-25-53-32,6/5/2016
39-19-54-06-22-12,6/10/2016
50-03-49-13-58-34,6/12/2016
16-58-33-35-02-50,6/17/2016
45-46-07-03-49-58,6/19/2016
51-49-25-40-31-45,6/24/2016
11-53-02-29-01-09,6/26/2016
36-47-04-03-20-28,7/1/2016
54-23-32-04-14-38,7/3/2016
11-27-51-02-16-41,7/8/2016
44-39-43-10-07-23,7/10/2016
06-21-57-31-53-02,7/15/2016
39-05-11-26-16-28,7/17/2016
09-47-04-20-52-05,7/22/2016
10-30-22-34-50-28,7/24/2016
20-55-14-22-18-30,7/29/2016
21-27-55-47-46-19,7/31/2016
02-09-06-30-52-08,8/5/2016
55-36-33-30-53-32,8/7/2016
50-19-25-15-51-14,8/12/2016
05-54-48-17-01-39,8/14/2016
07-38-40-31-53-30,8/19/2016
24-10-42-30-25-13,8/21/2016
38-37-57-22-30-53,8/26/2016
20-12-02-03-15-22,8/28/2016
48-34-36-16-27-35,9/2/2016
13-47-26-28-01-48,9/4/2016
29-27-34-47-04-12,9/9/2016
11-15-20-08-49-37,9/11/2016
23-41-13-46-43-58,9/16/2016
13-51-12-02-06-36,9/18/2016
32-56-27-57-15-09,9/23/2016
56-50-52-14-21-25,9/25/2016
51-49-47-25-39-05,9/30/2016
29-01-44-38-28-32,10/2/2016
56-45-33-54-52-18,10/7/2016
37-16-13-44-54-25,10/9/2016
49-31-25-52-53-33,10/14/2016
04-03-35-56-39-05,10/16/2016
51-46-43-47-12-32,10/21/2016
26-44-04-57-21-54,10/23/2016
46-32-02-57-15-03,10/28/2016
01-34-41-02-10-21,10/30/2016
58-06-25-47-38-41,11/4/2016
54-48-58-42-21-15,11/6/2016
08-51-07-32-37-17,11/11/2016
15-02-31-58-56-22,11/13/2016
43-42-29-10-41-04,11/18/2016
58-53-26-42-54-28,11/20/2016
46-32-10-56-27-48,11/25/2016
04-31-13-36-24-53,11/27/2016
17-40-58-27-47-05,12/2/2016
30-02-17-42-01-03,12/4/2016
55-23-29-22-53-41,12/9/2016
44-33-05-52-50-58,12/11/2016
19-34-58-28-08-36,12/16/2016
08-56-07-43-13-17,12/18/2016
40-14-34-45-20-36,12/23/2016
38-58-23-42-34-08,12/30/2016
21-17-54-47-08-02,1/6/2017
40-50-46-44-08-12,1/8/2017
45-19-06-07-08-22,1/13/2017
22-52-43-54-04-18,1/15/2017
40-43-39-21-52-46,1/20/2017
39-09-30-20-34-01,1/22/2017
05-41-53-12-16-46,1/27/2017
23-47-34-14-52-57,1/29/2017
17-30-06-13-43-31,2/3/2017
47-06-36-48-10-25,2/5/2017
12-05-01-18-22-35,2/10/2017
32-47-18-26-57-58,2/12/2017
03-34-06-13-07-19,2/14/2017
41-44-08-26-15-01,2/17/2017
09-03-40-53-27-20,2/19/2017
35-48-29-56-17-33,2/21/2017
49-22-39-42-25-47,2/24/2017
11-34-46-02-27-45,2/26/2017
11-26-20-19-56-31,2/28/2017
17-36-44-32-19-33,3/3/2017
21-34-58-14-57-09,3/5/2017
28-10-50-38-36-24,3/7/2017
34-27-02-17-15-38,3/10/2017
16-02-10-09-54-35,3/12/2017
06-07-19-16-36-04,3/14/2017
19-24-58-15-09-14,3/17/2017
51-48-04-39-09-19,3/19/2017
24-53-10-38-04-49,3/21/2017
30-18-43-37-09-39,3/24/2017
39-17-44-01-12-13,3/26/2017
10-21-23-06-27-09,3/28/2017
01-03-43-16-08-24,3/31/2017
22-48-57-12-33-43,4/2/2017
23-21-30-26-44-34,4/4/2017
36-49-58-46-03-02,4/7/2017
57-24-45-50-25-40,4/9/2017
51-13-06-25-15-58,4/11/2017
03-06-24-15-18-38,4/18/2017
24-23-34-02-29-32,4/21/2017
47-09-06-48-56-17,4/23/2017
03-27-23-29-47-57,4/25/2017
14-44-46-56-31-16,4/28/2017
33-38-29-57-31-53,4/30/2017
22-34-25-23-18-33,5/2/2017
26-33-58-56-39-37,5/5/2017
31-52-44-57-21-45,5/7/2017
18-15-58-30-07-05,5/9/2017
02-16-11-49-18-03,5/12/2017
56-13-58-17-20-08,5/14/2017
08-26-48-41-47-39,5/16/2017
30-11-50-54-28-15,5/19/2017
05-08-45-09-46-36,5/21/2017
22-33-21-57-14-41,5/23/2017
58-47-43-22-44-12,5/26/2017
36-17-39-35-40-11,5/28/2017
03-21-54-15-20-12,5/30/2017
47-32-53-02-45-11,6/2/2017
29-28-10-36-33-03,6/4/2017
09-04-08-23-29-16,6/6/2017
16-06-23-36-20-56,6/9/2017
23-03-14-56-58-04,6/11/2017
08-52-20-19-48-36,6/13/2017
31-50-06-12-16-40,6/16/2017
39-34-28-45-20-50,6/18/2017
22-24-23-54-46-43,6/20/2017
36-32-25-51-43-31,6/23/2017
51-28-36-01-40-56,6/25/2017
46-57-38-34-43-10,6/27/2017
03-42-38-33-30-47,6/30/2017
58-29-26-14-52-51,7/2/2017
51-53-16-32-41-40,7/4/2017
15-38-22-52-56-02,7/7/2017
45-21-16-20-38-29,7/9/2017
52-29-28-05-33-41,7/11/2017
14-36-08-34-50-53,7/14/2017
54-51-43-38-09-56,7/16/2017
45-46-25-39-01-42,7/18/2017
07-14-36-08-42-27,7/21/2017
52-08-27-14-19-53,7/23/2017
04-56-35-38-57-49,7/25/2017
44-29-15-50-39-54,7/28/2017
20-55-47-52-12-57,7/30/2017
53-14-23-02-58-20,8/1/2017
36-50-26-58-25-16,8/4/2017
54-08-45-07-23-19,8/6/2017
07-19-14-24-08-18,8/8/2017
16-31-44-02-51-13,8/11/2017
03-47-30-35-16-08,8/13/2017
07-54-14-10-04-49,8/15/2017
48-44-50-56-08-07,8/18/2017
21-05-55-51-30-34,8/20/2017
50-16-22-14-09-47,8/22/2017
35-06-01-41-40-42,8/25/2017
40-08-49-11-02-29,8/27/2017
19-06-26-43-33-40,8/29/2017
32-06-35-50-30-14,9/1/2017
30-16-04-17-41-01,9/3/2017
03-27-17-12-20-06,9/5/2017
31-03-52-34-22-15,9/8/2017
34-37-39-26-23-10,9/10/2017
52-17-58-09-19-10,9/12/2017
02-27-24-04-50-46,9/15/2017
10-17-03-35-50-44,9/17/2017
57-06-47-36-52-56,9/19/2017
23-33-02-47-40-06,9/22/2017
17-54-29-13-08-10,9/24/2017
01-15-26-55-21-11,9/26/2017
54-13-06-23-01-15,9/29/2017
40-57-02-41-47-27,10/1/2017
36-37-17-54-22-25,10/3/2017
42-32-27-10-15-03,10/6/2017
07-37-24-08-32-22,10/8/2017
56-11-14-46-58-47,10/10/2017
54-37-53-29-41-50,10/13/2017
14-02-04-57-05-17,10/15/2017
07-41-34-12-10-36,10/17/2017
26-43-24-35-14-57,10/20/2017
11-10-03-29-02-25,10/22/2017
08-34-02-38-30-57,10/24/2017
23-46-54-29-24-07,10/27/2017
04-21-12-47-09-42,10/29/2017
19-54-28-06-32-26,10/31/2017
46-25-58-44-41-19,11/3/2017
55-48-54-51-45-50,11/5/2017
57-04-02-38-21-44,11/7/2017
35-47-43-40-10-14,11/10/2017
12-44-14-18-31-16,11/12/2017
11-18-23-10-41-34,11/14/2017
17-12-51-26-21-08,11/17/2017
14-51-49-27-24-22,11/19/2017
22-58-54-51-10-27,11/21/2017
45-08-33-12-17-58,11/24/2017
10-52-30-41-12-06,11/26/2017
12-42-09-52-55-06,11/28/2017
03-52-30-17-08-01,12/1/2017
15-40-43-14-47-23,12/3/2017
39-57-01-20-40-22,12/5/2017
13-51-28-05-44-04,12/8/2017
45-53-22-24-47-05,12/10/2017
26-49-22-03-41-44,12/12/2017
51-39-38-43-25-02,12/15/2017
22-35-45-40-37-26,12/17/2017
13-50-08-45-07-16,12/19/2017
51-22-32-43-19-02,12/22/2017
57-37-35-05-49-36,12/24/2017
22-41-09-44-35-46,12/26/2017
15-57-01-12-24-09,12/29/2017
43-06-14-24-15-25,12/31/2017
